bpm,source,timestamp
45,rest,2024-04-22T08:26:47+00:00
43,rest,2024-04-22T08:31:47+00:00
44,rest,2024-04-22T08:36:47+00:00
43,rest,2024-04-22T08:41:47+00:00
43,rest,2024-04-22T08:46:47+00:00
44,rest,2024-04-22T08:51:47+00:00
45,rest,2024-04-22T08:56:47+00:00
45,rest,2024-04-22T09:01:47+00:00
44,rest,2024-04-22T09:26:47+00:00
42,rest,2024-04-22T09:31:47+00:00
41,rest,2024-04-22T09:41:34+00:00
45,rest,2024-04-22T09:51:34+00:00
